'a'ba'ga'qi 阿巴嘎旗
'a'ba'xian 阿坝县
'a'ba'zang'zu'qiang'zu'zi'zhi'zhou 阿坝藏族羌族自治州
'a'ba'zhen 阿坝镇
'a'ba'zhou 阿坝州
'a'bei'xiang 阿北乡
'a'bing'luo'gu'xiang 阿并洛古乡
'a'bu'du'la'xiang 阿不都拉乡
'a'cha'xiang 阿察乡
'a'cheng'shi 阿城市
'a'cheng'zhen 阿城镇
'a'de'bo'xiang 阿得博乡
'a'dou'qin'su'mu 阿都沁苏木
'a'dou'xiang 阿都乡
'a'dun'chu'lu'su'mu 阿敦础鲁苏木
'a'duo'xiang 阿多乡
'a'er'ba'si'su'mu 阿尔巴斯苏木
'a'er'ben'ge'le'zhen 阿尔本格勒镇
'a'er'da'xiang 阿尔达乡
'a'er'ding'da'jie'jie'dao 阿尔丁大街街道
'a'er'la'zhen 阿尔拉镇
'a'er'shan'bao'la'ge'zhen 阿尔善宝拉格镇
'a'er'shan'shi 阿尔山市
'a'er'xiang 阿尔乡
'a'er'xiang'zhen 阿尔乡镇
'a'ga'er'sen'xiang 阿尕尔森乡
'a'ga'ru'tai'su'mu 阿嘎如泰苏木
'a'ga'shen'ao'bao'xiang 阿尕什敖包乡
'a'ga'xiang 阿嘎乡
'a'gan'zhen 阿干镇
'a'gang'zhen 阿岗镇
'a'ge'xiang 阿格乡
'a'gong'zhen 阿弓镇
'a'gu'la'zhen 阿古拉镇
'a'gui'tu'xiang 阿贵图乡
'a'he'bie'li'dou'xiang 阿合别里斗乡
'a'he'qi'nong'chang 阿合其农场
'a'he'qi'xian 阿合奇县
'a'he'qi'zhen 阿合奇镇
'a'he'qia'guan'li'qu 阿合恰管理区
'a'he'ya'xiang 阿合亚乡
'a'he'ya'zi'mu'chang 阿合牙孜牧场
'a'hong'lu'ku'mu'xiang 阿洪鲁库木乡
'a'hu'xiang 阿湖乡
'a'hu'zhen 阿湖镇
'a'ji'zhen 阿吉镇
'a'ke'da'la'mu'chang 阿克达拉牧场
'a'ke'da'la'xiang 阿克达拉乡
'a'ke'ka'shi'xiang 阿克喀什乡
'a'ke'li'xiang 阿科里乡
'a'ke'qi'zhen 阿克齐镇
'a'ke'qiao'ke'bing'tuan'yi'liu'san'tuan 阿克乔克兵团一六三团
'a'ke'sa'ke'ma're'le'xiang 阿克萨克马热勒乡
'a'ke'sa'la'yi'xiang 阿克萨拉依乡
'a'ke'sa'lai'xiang 阿克萨来乡
'a'ke'sai'ha'sa'ke'zu'zi'zhi'xian 阿克塞哈萨克族自治县
'a'ke'su'di'qu 阿克苏地区
'a'ke'su'pu'xiang 阿克苏普乡
'a'ke'su'shi 阿克苏市
'a'ke'su'xiang 阿克苏乡
'a'ke'ta'mu'xiang 阿克塔木乡
'a'ke'ta'shi'nong'chang 阿克塔什农场
'a'ke'ta'si'mu'chang 阿克塔斯牧场
'a'ke'tao'xian 阿克陶县
'a'ke'tao'zhen 阿克陶镇
'a'ke'ti'kan'dun'xiang 阿克提坎墩乡
'a'ke'tu'bie'ke'xiang 阿克吐别克乡
'a'ke'tu'mu'si'ke'mu'chang 阿克吐木斯克牧场
'a'ke'tuo'hai'yi'xiang 阿克托海依乡
'a'ke'wu'si'tang'xiang 阿克吾斯塘乡
'a'la'da'er'tu'su'mu 阿拉达尔吐苏木
'a'la'di'jing'ji'guan'li'qu 阿拉底经济管理区
'a'la'er'shi 阿拉尔市
'a'la'er'shi'qu 阿拉尔市区
'a'la'fu'xiang 阿拉甫乡
'a'la'ge'er'xiang 阿拉格尔乡
'a'la'gou'xiang 阿拉沟乡
'a'la'ha'ge'zhen 阿拉哈格镇
'a'la'ha'ke'xiang 阿拉哈克乡
'a'la'li'xiang 阿拉力乡
'a'la'mai'ti'xiang 阿拉买提乡
'a'la'shan'kou'kou'an'xing'zheng'guan'li'qu 阿拉山口口岸行政管理区
'a'la'shan'meng 阿拉善盟
'a'la'shan'you'qi 阿拉善右旗
'a'la'shan'zuo'qi 阿拉善左旗
'a'la'tan'e'mo'le'zhen 阿拉坦额莫勒镇
'a'la'tan'gao'le'su'mu 阿拉坦高勒苏木
'a'la'tan'he'li'su'mu 阿拉坦合力苏木
'a'la'teng'ao'bao'su'mu 阿拉腾敖包苏木
'a'la'teng'chao'ke'su'mu 阿拉腾朝克苏木
'a'la'xiang 阿拉乡
'a'la'yi'zu'xiang 阿拉彝族乡
'a'la'yi'zu'xiang 啊喇彝族乡
'a'la'ying'zhen 阿拉营镇
'a'lang'xiang 阿朗乡
'a'le'ma'le'xiang 阿勒玛勒乡
'a'le'tai'di'qu 阿勒泰地区
'a'le'tai'shi 阿勒泰市
'a'le'teng'xi're'zhen 阿勒腾席热镇
'a'le'teng'ye'mu'le'xiang 阿勒腾也木勒乡
'a'li'de'er'ma'chang 阿力得尔马场
'a'li'de'er'su'mu 阿力得尔苏木
'a'li'di'qu 阿里地区
'a'li'he'lin'ye'ju 阿里河林业局
'a'li'he'zhen 阿里河镇
'a'li'ma'tu'dong'xiang'zu'xiang 阿力麻土东乡族乡
'a'li'shan'xiang 阿里山乡
'a'lian'xiang 阿莲乡
'a'long'shan'zhen 阿龙山镇
'a'lu'ke'er'qin'qi 阿鲁科尔沁旗
'a'men'qi'ri'ge'xiang 阿门其日格乡
'a'meng'zhen 阿猛镇
'a'mu'gu'lang'zhen 阿木古郎镇
'a'mu'qu'hu'zhen 阿木去乎镇
'a'mu'xiang 阿木乡
'a'mu'xiong'xiang 阿木雄乡
'a'na'ku'le'xiang 阿纳库勒乡
'a'qi'ke'guan'li'qu'xu'ni'xiang 阿其克管理区虚拟乡
'a'qi'ke'xiang 阿其克乡
'a'qi'tu'wu'la'su'mu 阿其图乌拉苏木
'a'qi'xiang 阿七乡
'a'qia'le'xiang 阿恰勒乡
'a'qia'ta'ge'xiang 阿恰塔格乡
'a'qiang'qu'gong'suo 阿羌区工所
'a'qiang'xiang 阿羌乡
'a're'le'tuo'bie'xiang 阿热勒托别乡
'a're'le'tuo'bie'zhen 阿热勒托别镇
'a're'le'tuo'hai'mu'chang 阿热勒托海牧场
'a're'le'xiang 阿热勒乡
'a're'le'zhen 阿热勒镇
'a're'si'lan'ba'ge'xiang 阿热斯兰巴格乡
'a're'wu'si'tang'xiang 阿热吾斯塘乡
'a'ri'kun'dou'leng'su'mu 阿日昆都冷苏木
'a'ri'xi'xiang 阿日希乡
'a'ri'zha'xiang 阿日扎乡
'a'rong'qi 阿荣旗
'a'rou'xiang 阿柔乡
'a'sa'xiang 阿萨乡
'a'she'yi'zu'xiang 阿舍彝族乡
'a'shen'han'su'mu 阿什罕苏木
'a'shen'he'jie'dao 阿什河街道
'a'shen'li'ha'sa'ke'zu'xiang 阿什里哈萨克族乡
'a'shen'nu'xiang 阿什奴乡
'a'shi'miao'zu'yi'zu'xiang 阿市苗族彝族乡
'a'su'wei'cun 阿苏卫村
'a'suo'xiang 阿索乡
'a'ting'he'lin'chang 阿廷河林场
'a'tu'shi'liang'zhong'chang 阿图什良种场
'a'tu'shi'shi 阿图什市
'a'tu'shi'shi'jing'ji'yang'chang 阿图什市经济羊场
'a'tu'shi'yuan'yi'chang 阿图什园艺场
'a'tuo'zhen 阿陀镇
'a'wa'ti'nong'chang 阿瓦提农场
'a'wa'ti'xian 阿瓦提县
'a'wa'ti'xiang 阿瓦提乡
'a'wa'ti'zhen 阿瓦提镇
'a'wan'cang'xiang 阿万仓乡
'a'wang'xiang 阿旺乡
'a'wang'zhen 阿旺镇
'a'wei'tan'zhen 阿苇滩镇
'a'wu'li'ya'xiang 阿乌利亚乡
'a'wu'xiang 阿坞乡
'a'xi'er'da'wo'er'min'zu'xiang 阿西尔达斡尔民族乡
'a'xi'rong'xiang 阿西茸乡
'a'xi'xiang 阿西乡
'a'xia'xiang 阿夏乡
'a'xiu'xiang 阿秀乡
'a'xu'xiang 阿须乡
'a'yi'ba'ge'xiang 阿依巴格乡
'a'yi'ku'le'xiang 阿依库勒乡
'a'yi'ku'le'zhen 阿依库勒镇
'a'yong'xiang 阿用乡
'a'yue'xiang 阿月乡
'a'zha'he'xiang 阿扎河乡
'a'zha'ke'xiang 阿扎克乡
'a'zha'te'ba'ge'xiang 阿扎特巴格乡
'a'zha'xiang 阿扎乡
'a'zha'zhen 阿扎镇
'a'zhuang'zhen 阿庄镇
'a'zi'jue'xiang 阿兹觉乡
'a'zi'tan'xiang 阿子滩乡
'a'zi'xiang 阿孜乡
'a'zi'ying'xiang 阿子营乡
'ai'cheng'zhen 艾城镇
'ai'dian'zhen 爱店镇
'ai'ding'hu'xiang 艾丁湖乡
'ai'dong'zhen 隘洞镇
'ai'er'mu'dong'xiang 艾尔木东乡
'ai'gang'xiang 艾岗乡
'ai'gu'si'xiang 艾古斯乡
'ai'guan'ying'cun 艾官营村
'ai'guo'jie'dao 爱国街道
'ai'guo'xiang 爱国乡
'ai'hao'mao'xiang 艾好峁乡
'ai'hua'lin'chang 爱华林场
'ai'hua'zhen 爱华镇
'ai'hui'qu 爱辉区
'ai'hui'zhen 爱辉镇
'ai'jia'zhen 艾家镇
'ai'kou'xiang 隘口乡
'ai'kou'zhen 隘口镇
'ai'lan'mu'ba'ge'jie'dao 艾兰木巴格街道
'ai'lang'xiang 矮郎乡
'ai'li'xi'hu'zhen 艾里西湖镇
'ai'lu'jie'dao 爱路街道
'ai'ma'xiang 艾玛乡
'ai'min'dong'dao'jie'dao 爱民东道街道
'ai'min'jie'she'qu 爱民街社区
'ai'min'qu 爱民区
'ai'min'xiang 爱民乡
'ai'ni'shan'xiang 爱尼山乡
'ai'nong'xiang 爱农乡
'ai'shan'jie'dao 艾山街道
'ai'shan'jie'dao 爱山街道
'ai'shan'xiang 矮山乡
'ai'ting'zhen 艾亭镇
'ai'tou'ping'xiang 艾头坪乡
'ai'wa'cun 艾洼村
'ai'wei'er'gou'jie'dao 艾维尔沟街道
'ai'xi'hu'guan'li'chu 艾溪湖管理处
'ai'xi'man'xiang 艾西曼乡
'ai'xi'xiang 埃西乡
'ai'xin'she'li'zhen 爱新舍里镇
'ai'yang'zhen 爱阳镇
'ai'ye'zhen 艾叶镇
'ai'you'jie'dao 艾友街道
'ai'yu'cun 艾峪村
'ai'yuan'zhen 爱园镇
'ai'zhai'zhen 矮寨镇
'ai'zhuang'hui'zu'xiang 艾庄回族乡
'ai'zi'zhen 隘子镇
'an'ban'zhen 按板镇
'an'bang'xiang 安邦乡
'an'bei'jie'dao 安北街道
'an'bei'xiang 安北乡
'an'bian'zhen 安边镇
'an'bo'zhen 安波镇
'an'bu'jie'dao 安埠街道
'an'bu'zhen 庵埠镇
'an'cai'lou'zhen 安蔡楼镇
'an'chang'cun 安场村
'an'chang'xiang 安昌乡
'an'chang'zhen 安常镇
'an'chang'zhen 安昌镇
'an'cheng'xiang 安城乡
'an'cheng'zhen 安成镇
'an'chong'xiang 安冲乡
'an'chui'xiang 安陲乡
'an'chun'gou'men'man'zu'xiang 安纯沟门满族乡
'an'ci'qu 安次区
'an'cun'xiang 安村乡
'an'da'shi 安达市
'an'da'xu'mu'chang 安达畜牧场
'an'da'zhen 安达镇
'an'de'li'she'qu 安德里社区
'an'de'lu'bei'she'qu 安德路北社区
'an'de'lu'nan'she'qu 安德路南社区
'an'de'lu'she'qu 安德路社区
'an'de'xiang 安德乡
'an'de'zhen 安德镇
'an'di'er'mu'chang 安迪尔牧场
'an'di'er'xiang 安迪尔乡
'an'di'zhen 安地镇
'an'di'zhen 安底镇
'an'di'zhen 岸堤镇
'an'ding'che'zhan'cun 安定车站村
'an'ding'men'jie'dao 安定门街道
'an'ding'qu 安定区
'an'ding'xiang 安定乡
'an'ding'ying'cun 安定营村
'an'ding'zhen 安定镇
'an'dong'wei'jie'dao 安东卫街道
'an'dong'xiang 安东乡
'an'dong'zhen 庵东镇
'an'dou'xiang 安都乡
'an'dou'xiang 安斗乡
'an'dun'zhen 安墩镇
'an'duo'xian 安多县
'an'feng'tang'zhen 安丰塘镇
'an'feng'xiang 安丰乡
'an'feng'zhen 安丰镇
'an'feng'zhen 安峰镇
'an'fu'jie'dao 安阜街道
'an'fu'jie'dao 安富街道
'an'fu'si'zhen 安福寺镇
'an'fu'xian 安福县
'an'fu'xian'gong'ye'yuan 安福县工业园
'an'fu'xiang 安伏乡
'an'fu'xiang 安福乡
'an'fu'zhen 安富镇
'an'fu'zhen 安福镇
'an'gao'zhen 安皋镇
'an'ge'li'ge'xiang 安格里格乡
'an'ge'zhuang'cun 安各庄村
'an'ge'zhuang'xiang 安格庄乡
'an'ge'zhuang'zhen 安各庄镇
'an'gou'xiang 安沟乡
'an'gu'cun 安固村
'an'gu'xiang 安谷乡
'an'gu'xiang 安固乡
'an'gu'zhen 安谷镇
'an'guang'zhen 安广镇
'an'guo'shi 安国市
'an'guo'xiang 安国乡
'an'guo'zhen 安国镇
'an'ha'zhen 安哈镇
'an'hai'zhen 安海镇
'an'he'jie'dao 安和街道
'an'he'qiao'she'qu 安河桥社区
'an'he'xiang 安和乡
'an'he'zhen 安河镇
'an'hong'jie'dao 安虹街道
'an'hong'xiang 安宏乡
'an'hou'zhen 安厚镇
'an'hua'li'she'qu 安华里社区
'an'hua'lou'she'qu 安化楼社区
'an'hua'xi'li'she'qu 安华西里社区
'an'hua'xian 安化县
'an'hua'xiang 安化乡
'an'hua'xin'lou'she'qu 安化新楼社区
'an'hua'yi'zu'xiang 安化彝族乡
'an'hua'zhen 安化镇
'an'hua'zhen 安华镇
'an'huai'zhen 安怀镇
'an'hui'bei'li'an'yi'she'qu 安慧北里安逸社区
'an'hui'bei'li'xiu'ya'she'qu 安慧北里秀雅社区
'an'hui'dong'li'she'qu 安慧东里社区
'an'hui'li'nan'she'qu 安慧里南社区
'an'hui'li'she'qu 安慧里社区
'an'hui'sheng 安徽省
'an'hui'sheng'bai'hu'fa'men'chang 安徽省白湖阀门厂
'an'hui'sheng'bai'hu'jian'yu'guan'li'fen'ju 安徽省白湖监狱管理分局
'an'hui'sheng'zui'fan'ji'shu'pei'xun'xue'xiao 安徽省罪犯技术培训学校
'an'ji'hai'zhen 安集海镇
'an'ji'jie'dao 安吉街道
'an'ji'shan'lin'chang 安基山林场
'an'ji'xian 安吉县
'an'ji'xiang 安集乡
'an'ji'xiang 安吉乡
'an'jia'bao'xiang 安家堡乡
'an'jia'jie'dao 安家街道
'an'jia'lou'guan'wei'hui 安家楼管委会
'an'jia'po'dong'xiang'zu'xiang 安家坡东乡族乡
'an'jia'xiang 安家乡
'an'jia'zhen 安家镇
'an'jia'zhuang'cun 安家庄村
'an'jia'zhuang'xiang 安家庄乡
'an'jia'zhuang'zhen 安驾庄镇
'an'jiang'xiang 鞍匠乡
'an'jiang'zhen 安江镇
'an'jie'xiang 庵杰乡
'an'jing'jie'dao 安静街道
'an'jing'xiang 安靖乡
'an'jing'zhen 安靖镇
'an'ju'qu 安居区
'an'ju'zhen 安居镇
'an'kai'xiang 安凯乡
'an'kang'jie'dao 安康街道
'an'kang'shi 安康市
'an'kang'wa'zu'xiang 安康佤族乡
'an'kang'xiang 安康乡
'an'kou'xiang 垵口乡
'an'kou'zhen 安口镇
'an'lan'zhen 安澜镇
'an'le'cun 安乐村
'an'le'he'xiang 安乐河乡
'an'le'jie'dao 安乐街道
'an'le'lin'she'qu 安乐林社区
'an'le'qu 安乐区
'an'le'xi'xiang 安乐溪乡
'an'le'xiang 安乐乡
'an'le'yi'zu'ge'lao'zu'xiang 安乐彝族仡佬族乡
'an'le'zhen 安乐镇
'an'le'zhuang'cun 安乐庄村
'an'li'cun 安里村
'an'li'xiang 安里乡
'an'liang'zhen 安良镇
'an'lin'zhan'zhen 安临站镇
'an'ling'xiang 安岭乡
'an'ling'zhen 安陵镇
'an'ling'zhen 安凌镇
'an'ling'zhen 安岭镇
'an'liu'xiang 暗流乡
'an'liu'zhen 安流镇
'an'long'bao'xiang 安龙堡乡
'an'long'xian 安龙县
'an'long'zhen 安龙镇
'an'lu'shi 安陆市
'an'luo'miao'zu'yi'zu'man'zu'xiang 安洛苗族彝族满族乡
'an'ma'xiang 安马乡
'an'men'kou'zhen 岸门口镇
'an'min'jie'dao 安民街道
'an'min'xiang 安民乡
'an'min'zhen 安民镇
'an'nan'qu 安南区
'an'nan'xiang 安南乡
'an'ning'bao'jie'dao 安宁堡街道
'an'ning'bei'lu'she'qu 安宁北路社区
'an'ning'dong'lu'she'qu 安宁东路社区
'an'ning'jie'dao 安宁街道
'an'ning'jie'jie'dao 安宁街街道
'an'ning'li'she'qu 安宁里社区
'an'ning'nan'li'she'qu 安宁南里社区
'an'ning'qu 安宁区
'an'ning'qu'zhen 安宁渠镇
'an'ning'shi 安宁市
'an'ning'xi'lu'jie'dao 安宁西路街道
'an'ning'xiang 安凝乡
'an'ning'xiang 安宁乡
'an'ning'zhen 安宁镇
'an'ning'zhuang'she'qu 安宁庄社区
